POS,PLAYER,Mat,Inns,Runs,HS,Avg,BF,SR,100,50,4s,Ov,Wkts,BBI,Avg,Econ,SR,4w,5w
,Moeen Ali,2,2,84,,,,,,,,8,1,Jan-51,84,10.5,48,0,0
,Jimmy Neesham,1,1,21,,,,,,,,2,1,Jan-21,21,10.5,12,0,0
,Mohit Sharma,3,3,105,,,,,,,,10,1,Jan-40,105,10.5,60,0,0
,Adam Zampa,1,1,45,,,,,,,,4,1,Jan-45,45,11.25,24,0,0
,Basil Thampi,2,2,80,,,,,,,,7,1,Jan-53,80,11.42,42,0,0
,Dale Steyn,1,1,46,,,,,,,,4,1,Jan-46,46,11.5,24,0,0
,Andrew Tye,2,2,90,,,,,,,,7.4,1,Jan-33,90,11.73,46,0,0
,Abdul Samad,1,1,50,,,,,,,,4,1,Jan-50,50,12.5,24,0,0
,Mohammad Nabi,5,3,96,,,,,,,,7,1,Jan-41,96,13.71,42,0,0
,Nitish Rana,1,1,23,,,,,,,,4,0,0/23,-,5.75,-,0,0
,Shahbaz Nadeem,9,1,7,,,,,,,,1,0,0/7,-,7,-,0,0
,Chris Green,1,1,29,,,,,,,,4,0,0/29,-,7.25,-,0,0
,Ishant Sharma,1,1,24,,,,,,,,2.5,0,0/24,-,8.47,-,0,0
,Deepak Hooda,1,1,26,,,,,,,,3,0,0/26,-,8.66,-,0,0
,Mitchell Marsh,2,1,9,,,,,,,,1,0,0/9,-,9,-,0,0
,Shahbaz Ahmed,1,1,6,,,,,,,,0.4,0,0/6,-,9,-,0,0
,Ben Stokes,1,1,18,,,,,,,,2,0,0/18,-,9,-,0,0
,Harpreet Brar,4,3,58,,,,,,,,6,0,0/7,-,9.66,-,0,0
,Mujeeb Ur Rahman,1,1,41,,,,,,,,4,0,0/41,-,10.25,-,0,0
,Avesh Khan,2,2,83,,,,,,,,8,0,0/39,-,10.37,-,0,0
,Sandeep Warrier,1,1,42,,,,,,,,4,0,0/42,-,10.5,-,0,0
,Umesh Yadav,1,1,34,,,,,,,,3,0,0/34,-,11.33,-,0,0
,Kane Williamson,2,2,83,,,,,,,,7,0,0/35,-,11.85,-,0,0
,Varun Aaron,7,1,24,,,,,,,,2,0,0/24,-,12,-,0,0
,Riyan Parag,1,1,25,,,,,,,,2,0,0/25,-,12.5,-,0,0
,virat Kohli,187,178,5759,113,38.65,"4,384",131.36,5,38,498,,,,,,,0,0
,suresh raina,193,189,5368,100*,33.34,"3,914",137.14,1,38,493,,,,,,,,
,rohit Sharma,197,192,5158,109*,31.45,"3,945",130.74,1,38,453,,,,,,,,
,Shikhar Dhawan,169,168,5044,106*,35.02,"3,981",126.7,2,39,575,,,,,,,,
